DOMAINE;CODE_DE;LIBELLE_DE
MÉDECINE;38;Radiothérapie de contact 
MÉDECINE;39;Radiothérapie externe (césium, cobalt) 
MÉDECINE;40;Curiethérapie 
MÉDECINE;41;Radiothérapie haute énergie (bétatron, accélérateur linéaire) 
MÉDECINE;44;Autre radiothérapie spécialisée 
MÉDECINE;102;Maladies infectieuses et parasitaires 
MÉDECINE;103;Centre antipoison 
MÉDECINE;106;Surveillance continue médicale 
MÉDECINE;107;Surveillance continue polyvalente (médicale + chirurgicale, non compris soins intensifs) 
MÉDECINE;113;Médecine gériatrique 
MÉDECINE;114;Spécialités médicales indifférenciées 
MÉDECINE;115;Allergologie 
MÉDECINE;116;Dermatologie et vénérologie indifférenciées 
MÉDECINE;117;Dermatologie, vénérologie 
MÉDECINE;118;Vénérologie 
MÉDECINE;119;Endocrinologie, diabétologie 
MÉDECINE;120;Endocrinologie 
MÉDECINE;121;Diabétologie 
MÉDECINE;122;Maladies métaboliques et nutrition 
MÉDECINE;123;Hématologie et maladies du sang 
MÉDECINE;124;Hépato-gastro-entérologie 
MÉDECINE;125;Maladies tropicales et exotiques 
MÉDECINE;126;Médecine carcinologique 
MÉDECINE;127;Médecine cardiovasculaire 
MÉDECINE;129;Neurologie 
MÉDECINE;130;Pneumologie 
MÉDECINE;131;Pneumologie non tuberculeuse 
MÉDECINE;132;Phtisiologie 
MÉDECINE;133;Rhumatologie 
MÉDECINE;134;Radiothérapie et médecine nucléaire indifférenciées 
MÉDECINE;135;Radiothérapie 
MÉDECINE;136;Médecine nucléaire 
MÉDECINE;174;Médecine générale et spécialités médicales indifférenciées 
MÉDECINE;195A;Soins aux toxicomanes (prise en charge par l'UF de médecine) 
MÉDECINE;196A;Alcoologie (lutte contre l'alcoolisme) (prise en charge par UF de médecine) 
MÉDECINE;198;Oncologie 
MÉDECINE;223;Médecine générale ou polyvalente 
MÉDECINE;225;Médecine interne et spécialités médicales 
MÉDECINE;263;Placement familial sanitaire 
MÉDECINE;302;Chimiothérapie en hématologie et cancérologie 
MÉDECINE;310;Examens de santé et bilans 
MÉDECINE;312;Néphrologie 
MÉDECINE;471;Médecine générale et spécialités médicales 
MÉDECINE;472;Médecine de la reproduction 
MÉDECINE;554;Entraînement à la dialyse péritonéale continue 
MÉDECINE;555;Dialyse péritonéale 
